ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
00612,72,013,301000,72013301000,5194,2457,5310456,3762652,67010,30992,184915406,175106243,5194,2457,5310456,3762652,7.75,7.93,2.87,2.15,100,100,100,100
00612,72,013,301100,72013301100,7662,3398,7067363,7066617,67010,30992,184915406,175106243,7662,3398,7067363,7066617,11.43,10.96,3.82,4.04,100,100,100,100
00612,72,013,301200,72013301200,3868,1913,1972339,1972339,67010,30992,184915406,175106243,3868,1913,1972339,1972339,5.77,6.17,1.07,1.13,100,100,100,100
00612,72,013,301300,72013301300,3590,1520,1112189,1112189,67010,30992,184915406,175106243,3590,1520,1112189,1112189,5.36,4.9,.6,.64,100,100,100,100
00612,72,013,301400,72013301400,1190,597,879951,873395,67010,30992,184915406,175106243,1190,597,879951,873395,1.78,1.93,.48,.5,100,100,100,100
00612,72,013,301500,72013301500,5948,2626,5659881,5659881,67010,30992,184915406,175106243,5948,2626,5659881,5659881,8.88,8.47,3.06,3.23,100,100,100,100
00612,72,013,301600,72013301600,4655,1969,21822317,21734909,67010,30992,184915406,175106243,4656,1971,25889602,25614386,6.95,6.35,11.8,12.41,99.98,99.9,84.29,84.85
00612,72,013,301700,72013301700,4887,2091,17376189,17355333,67010,30992,184915406,175106243,4887,2091,17376189,17355333,7.29,6.75,9.4,9.91,100,100,100,100
00612,72,013,301800,72013301800,1882,798,25924303,25891509,67010,30992,184915406,175106243,1882,798,25924303,25891509,2.81,2.57,14.02,14.79,100,100,100,100
00612,72,013,301900,72013301900,3422,1461,52100422,50714303,67010,30992,184915406,175106243,5574,2260,79788544,78278073,5.11,4.71,28.18,28.96,61.39,64.65,65.3,64.79
00612,72,013,302000,72013302000,53,37,235648,235648,67010,30992,184915406,175106243,3064,1339,6562796,6562377,.08,.12,.13,.13,1.73,2.76,3.59,3.59
00612,72,017,590100,72017590100,72,31,1039344,1039344,67010,30992,184915406,175106243,6994,3051,23820477,19718311,.11,.1,.56,.59,1.03,1.02,4.36,5.27
00616,72,013,300301,72013300301,3015,1425,5400776,5354221,11017,4896,30019620,29870473,3153,1487,5666001,5619446,27.37,29.11,17.99,17.92,95.62,95.83,95.32,95.28
00616,72,013,301900,72013301900,988,449,7070363,6968190,11017,4896,30019620,29870473,5574,2260,79788544,78278073,8.97,9.17,23.55,23.33,17.73,19.87,8.86,8.9
00616,72,013,302000,72013302000,3011,1302,6327148,6326729,11017,4896,30019620,29870473,3064,1339,6562796,6562377,27.33,26.59,21.08,21.18,98.27,97.24,96.41,96.41
00616,72,013,302100,72013302100,4003,1720,11221333,11221333,11017,4896,30019620,29870473,5863,2457,15750132,15750132,36.33,35.13,37.38,37.57,68.28,70,71.25,71.25
00617,72,017,590100,72017590100,6922,3020,15408419,11430709,24597,10594,43335127,39347158,6994,3051,23820477,19718311,28.14,28.51,35.56,29.05,98.97,98.98,64.69,57.97
00617,72,017,590200,72017590200,3785,1818,2422992,2422992,24597,10594,43335127,39347158,3785,1818,2422992,2422992,15.39,17.16,5.59,6.16,100,100,100,100
00617,72,017,590300,72017590300,8203,3332,9922296,9914880,24597,10594,43335127,39347158,8203,3332,9922296,9914880,33.35,31.45,22.9,25.2,100,100,100,100
00617,72,017,590400,72017590400,5547,2372,15427757,15424914,24597,10594,43335127,39347158,5834,2492,16361145,16358302,22.55,22.39,35.6,39.2,95.08,95.18,94.3,94.29
00617,72,054,580100,72054580100,140,52,153663,153663,24597,10594,43335127,39347158,5908,2380,25702781,25673855,.57,.49,.35,.39,2.37,2.18,.6,.6
00622,72,023,830502,72023830502,566,714,2200473,2126898,7853,8714,76771945,75077028,4391,3071,24714807,20444782,7.21,8.19,2.87,2.83,12.89,23.25,8.9,10.4
00622,72,023,830603,72023830603,3310,2307,48239615,47639487,7853,8714,76771945,75077028,4995,3198,51709161,49873485,42.15,26.47,62.83,63.45,66.27,72.14,93.29,95.52
00622,72,023,830604,72023830604,3977,5693,26331857,25310643,7853,8714,76771945,75077028,4841,6160,33767864,28855718,50.64,65.33,34.3,33.71,82.15,92.42,77.98,87.71
00623,72,023,830101,72023830101,4793,2269,15325568,15319015,43061,21426,100001387,98367847,4793,2269,15325568,15319015,11.13,10.59,15.33,15.57,100,100,100,100
00623,72,023,830102,72023830102,4935,2210,10800825,10800379,43061,21426,100001387,98367847,4935,2210,14664674,14664228,11.46,10.31,10.8,10.98,100,100,73.65,73.65
00623,72,023,830200,72023830200,7111,3831,29274070,27806995,43061,21426,100001387,98367847,7111,3831,34169625,27813942,16.51,17.88,29.27,28.27,100,100,85.67,99.98
00623,72,023,830300,72023830300,5153,2440,4868357,4868357,43061,21426,100001387,98367847,5153,2440,4868357,4868357,11.97,11.39,4.87,4.95,100,100,100,100
00623,72,023,830400,72023830400,5151,2491,4973402,4954224,43061,21426,100001387,98367847,5151,2491,4973402,4954224,11.96,11.63,4.97,5.04,100,100,100,100
00623,72,023,830502,72023830502,3825,2357,18437640,18317884,43061,21426,100001387,98367847,4391,3071,24714807,20444782,8.88,11,18.44,18.62,87.11,76.75,74.6,89.6
00623,72,023,830503,72023830503,5886,2885,8580643,8580445,43061,21426,100001387,98367847,5889,2950,10410429,8592018,13.67,13.46,8.58,8.72,99.95,97.8,82.42,99.87
00623,72,023,830504,72023830504,3658,1585,1958705,1941475,43061,21426,100001387,98367847,3658,1585,4214270,1969030,8.49,7.4,1.96,1.97,100,100,46.48,98.6
00623,72,023,830603,72023830603,1685,891,2235381,2233998,43061,21426,100001387,98367847,4995,3198,51709161,49873485,3.91,4.16,2.24,2.27,33.73,27.86,4.32,4.48
00623,72,023,830604,72023830604,864,467,3546796,3545075,43061,21426,100001387,98367847,4841,6160,33767864,28855718,2.01,2.18,3.55,3.6,17.85,7.58,10.5,12.29
00624,72,111,730100,72111730100,5795,2183,32021361,32017743,26241,9905,114316394,111791516,5795,2183,32021361,32017743,22.08,22.04,28.01,28.64,100,100,100,100
00624,72,111,730200,72111730200,2483,931,19667496,19651594,26241,9905,114316394,111791516,2483,931,19667496,19651594,9.46,9.4,17.2,17.58,100,100,100,100
00624,72,111,730300,72111730300,7142,2665,18405390,18401281,26241,9905,114316394,111791516,7142,2665,18405390,18401281,27.22,26.91,16.1,16.46,100,100,100,100
00624,72,111,730400,72111730400,2311,975,1243814,1242072,26241,9905,114316394,111791516,2311,975,1243814,1242072,8.81,9.84,1.09,1.11,100,100,100,100
