"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,,"MANHATTAN",,,,,"2688.6","In Compliance ","1","526729","Not Available","2491.1",,,"Not Available",,"1010037501","Multifamily Housing","4401932","1022710","450162","None","160.6","306.3","7 AVENUE            ","76179","5179.8","158.4","304.7","10019"
"No","Yes",,,"QUEENS",,,,,"808.3","In Compliance ","1","128148","8","192.7",,,"0",,"4099500057","Multifamily Housing","4403943","4213185","128148","Manual","123","165.6","HILLSIDE AVENUE     ","   183-11","1001","116.9","159.5","11432"
"No","Yes",,,"MANHATTAN",,,,,"0","In Compliance ","1","614127","74","3669.6",,,"Not Available",,"1008397501","Office","3429407","1081017","609179","None","75.9","206.7","                    ",,"3669.6","74.4","205.1",
"Yes","Yes",,,"MANHATTAN",,,,,"131.9","In Compliance ","1","80742","Not Available","110.8",,,"Not Available",,"1020010001","Self-Storage Facility","2587400","1059941","84596","None","45.1","80.4","JOE DIMAGGIO HIGHWAY","2351","242.7","41.7","76.8","10031"
"No","Yes",,,"QUEENS",,,,,"316.8","In Compliance ","23","1228778","2","89.9",,,"Not Available",,"4071170003","Multifamily Housing","2640584","4444025","48000","None","146.9","201.4","  64 AVENUE         ","   188-02","406.8","146.4","200.1","11365"
"No","Yes",,"1084771","MANHATTAN","100",,"5","4","386","In Compliance ","1","1681000","23","15943.8","40.756648","-73.974358","80.03","Turtle Bay-East Midtown                                                    ","1013049001","Hotel","1454910","1084771","1600000","Manual","141.2","273.2","PARK AVENUE         ","301","16329.8","138.3","270.4","10022"
"Yes","Yes",,,"QUEENS",,,,,"633.3","In Compliance ","1","64350","21","71.7",,,"48.46",,"4001310004","Multifamily Housing","4409209","4000969","75075","ABS","124.3","150.2","  43 AVENUE         ","    50-05","705","117.8","143.7","11377"
"No","Yes",,,"QUEENS",,,,,"219.7","In Compliance ","27","410788","1","62.3",,,"Not Available",,"4071170006","Multifamily Housing","2640585","4440205","16000","None","305.5","419","  67 AVENUE         ","   194-05","282","304","414.3","11365"
"Yes","Yes",,,"QUEENS",,,,,"226.1","In Compliance ","1","50850","36","75.9",,,"103.13",,"4005760036","Multifamily Housing","2667225","4006916","46175","ABS","112","159","  30 AVENUE         ","    27-10","302","107.3","154.4","11102"
"Yes","Yes",,,"QUEENS",,,,,"181.2","In Compliance ","1","126125","22","435.7",,,"Not Available",,"4001430001","Distribution Center","2535105","4001351","126125","None","68.7","159.2","NORTHERN BOULEVARD  ","    47-00","616.9","67.3","158.3","11101"
"No","Yes",,"1035462","MANHATTAN","102",,"5","4","4150.2","In Compliance ","1","815240","45","6664.8","40.758114","-73.975393","225.56","Midtown-Midtown South                                                      ","1012860021","Hotel","1454367","1035462","1200000","Manual","141.3","218.2","MADISON AVENUE      ","455","10815","139.2","216.3","10022"
"No","Yes",,,"QUEENS",,,,,"891.2","In Compliance ","1","395000","80","237",,,"Not Available",,"4020820107","Multifamily Housing","2643987","4050412","129990","None","151.1","204.6","  97 STREET         ","    61-15","1128.2","141.8","194.5","11374"
"Yes","Yes",,,"QUEENS",,,,,"357.1","In Compliance ","1","95040","86","127.4",,,"Not Available",,"4099540066","Multifamily Housing","2729928","4213294","99792","None","82.8","119.1","HILLSIDE AVENUE     ","   185-01","484.5","80.5","116.4","11432"
"No","Yes",,,"QUEENS",,,,,"31.6","In Compliance ","1","71276","Not Available","99.2",,,"105.7",,"4002530017","Other","2653160","4003449","47500","Manual","37.7","92.2","  32 PLACE          ","    47-14","130.8","Not Available","Not Available","11101"
"Yes","Yes",,,"QUEENS",,,,,"695.8","In Compliance ","1","79000","9","94.8",,,"71.63",,"4001850017","Multifamily Housing","2726122","4002388","79000","ABS","133.4","165.8","  40 STREET         ","    41-11","790.6","128","160.6","11104"
"No","Yes",,,"QUEENS",,,,,"680.7","In Compliance ","1","87396","Not Available","107.3",,,"Not Available",,"4008460048","Multifamily Housing","2726092","4017709","88096","None","118.7","151.4","  31 STREET         ","    21-38","787.9","110.9","143.3","11105"
"Yes","Yes",,,"QUEENS",,,,,"403.7","In Compliance ","1","88200","65","95.5",,,"Not Available",,"4001880021","Multifamily Housing","2726120","4002458","97020","None","90.2","119.5","  43 AVENUE         ","    41-00","499.2","85.6","114.5","11104"
"Yes","Yes",,,"QUEENS",,,,,"692.5","In Compliance ","1","109057","14","205.6",,,"Not Available",,"4022230038","Multifamily Housing","2729916","4052344","114510","None","135.5","187.5","  71 AVENUE         ","   108-37","898.1","134.2","186.3","11375"
"Yes","Yes",,,"QUEENS",,,,,"692.8","In Compliance ","1","89340","12","124.1",,,"152.84",,"4014510001","Multifamily Housing","2665626","4035711","75298","ABS","142.1","185.8","  34 AVENUE         ","    90-10","817","131.5","175.2","11372"
"No","Yes",,,"QUEENS",,,,,"755.8","In Compliance ","1","167310","Not Available","261.6",,,"Not Available",,"4005100020","Multifamily Housing","2682249","4005574","212909","None","81.6","116.7","12 AVENUE           ","810","1017.4","78.6","113.6","11102"
"No","Yes",,,"QUEENS",,,,,"257","In Compliance ","1","88428","25","771.1",,,"14.79",,"4041470001","Office","2717193","4437997","139253","Manual","96.1","239.9","  20 AVENUE         ","   141-07","1028.2","Not Available","Not Available","11357"
"No","Yes",,,"QUEENS",,,,,"91.4","In Compliance ","1","81000","97","108.5",,,"Not Available",,"4004100038","Office","2646904","4004972","79200","None","38.3","74.7","  22 STREET         ","    40-36","200","35.5","71.9","11101"
"Yes","Yes",,,"QUEENS",,,,,"0","In Compliance ","3","235440","0","0",,,"0",,"4019470018","Not Available","4489857","0","0","Manual","0","0","  59 AVENUE         ","    99-30","0","0","0","11368"
"No","Yes",,,"QUEENS",,,,,"Not Available","In Violation ","1","134592","Not Available","Not Available",,,,,"4004900011","Not Available","#N/A",,"Not Available","Not Available",,,"   1 STREET         ","    27-50","Not Available",,,
"No","Yes",,,"QUEENS",,,,,"Not Available","In Violation ","1","100000","Not Available","Not Available",,,,,"4005030005","Not Available","#N/A",,"Not Available","Not Available",,,"VERNON BOULEVARD    ","    31-01","Not Available",,,
"Yes","Yes",,,"MANHATTAN",,,,,"Not Available","In Violation ","1","318000","Not Available","Not Available",,,,,"1019990001","Not Available","#N/A",,"Not Available","Not Available",,,"JOE DIMAGGIO HIGHWAY","2321","Not Available",,,
"No","Yes",,,"BROOKLYN",,,,,"Not Available","In Violation ","1","51896","Not Available","Not Available",,,,,"3029620037","Not Available","#N/A",,"Not Available","Not Available",,,"VARICK AVENUE       ",,"Not Available",,,
"No","Yes",,,"QUEENS",,,,,"988.7","In Compliance ","2","196000","4","200.4",,,"Not Available",,"4058780075","Multifamily Housing","2641865","4443742","99990","None","155.4","208.4","  18 AVENUE         ","   209-20","1189.1","155.5","208.8","11360"
"Yes","Yes",,,"QUEENS",,,,,"285.8","In Compliance ","1","213654","65","500.8",,,"Not Available",,"4033340260","Multifamily Housing","2641866","4079634","213644","None","53.4","115.2","UNION TURNPIKE      ","   118-17","786.6","51.4","109.4","11375"
