,Station_Longitude,Station_Name,Station_Latitude,lonlat,ZIPCODE
1003,-73.854376,238th St-Nereid Av,40.898379,"(-73.854376000000002, 40.898378999999998)",10466
1004,-73.854376,238th St-Nereid Av,40.898379,"(-73.854376000000002, 40.898378999999998)",10466
1005,-73.857473,233rd St,40.893193,"(-73.857472999999999, 40.893192999999997)",10466
1006,-73.857473,233rd St,40.893193,"(-73.857472999999999, 40.893192999999997)",10466
1007,-73.860341,225th St,40.888022,"(-73.860341000000005, 40.888021999999999)",10466
1008,-73.860341,225th St,40.888022,"(-73.860341000000005, 40.888021999999999)",10466
1009,-73.860341,225th St,40.888022,"(-73.860341000000005, 40.888021999999999)",10466
1826,-73.830834,Eastchester-Dyre Av,40.8883,"(-73.830833999999996, 40.888300000000001)",10466
1024,-73.873488,East 180th St,40.841894,"(-73.873487999999995, 40.841894000000003)",10460
1025,-73.873488,East 180th St,40.841894,"(-73.873487999999995, 40.841894000000003)",10460
1026,-73.880049,East Tremont Av-West Farms Sq,40.840295000000005,"(-73.880049, 40.840295000000005)",10460
1027,-73.880049,East Tremont Av-West Farms Sq,40.840295000000005,"(-73.880049, 40.840295000000005)",10460
1028,-73.880049,East Tremont Av-West Farms Sq,40.840295000000005,"(-73.880049, 40.840295000000005)",10460
1029,-73.880049,East Tremont Av-West Farms Sq,40.840295000000005,"(-73.880049, 40.840295000000005)",10460
1030,-73.880049,East Tremont Av-West Farms Sq,40.840295000000005,"(-73.880049, 40.840295000000005)",10460
1031,-73.887734,174th St,40.837288,"(-73.887733999999995, 40.837288000000001)",10460
1032,-73.887734,174th St,40.837288,"(-73.887733999999995, 40.837288000000001)",10460
1699,-73.887734,174th St,40.837288,"(-73.887733999999995, 40.837288000000001)",10460
1700,-73.887734,174th St,40.837288,"(-73.887733999999995, 40.837288000000001)",10460
1052,-73.936245,145th St,40.820421,"(-73.936245, 40.820421000000003)",10030
1053,-73.936245,145th St,40.820421,"(-73.936245, 40.820421000000003)",10030
