BEDS CODE,School Name,County,School Type,Homeless Students,Borough,Zipcode,Latitude,Longitude
331800860916,brooklyn ascend charter school,kings,charter school,38,brooklyn,11212,40.662068,-73.920714
331800860983,new hope academy charter school,kings,charter school,11,brooklyn,11203,40.643734,-73.922352
331800860988,cultural arts academy-spring creek,kings,charter school,3,brooklyn,11212,40.654145,-73.908336
331800861033,canarsie ascend charter school,kings,charter school,15,brooklyn,11236,40.644184,-73.900822
331800861057,new american acad charter sch (the),kings,charter school,25,brooklyn,11236,40.651526,-73.914194
331900860880,achievement first e ny charter sch,kings,charter school,35,brooklyn,11207,40.663882,-73.893277
331900860958,brooklyn scholars charter school,kings,charter school,26,brooklyn,11208,40.669484,-73.867308
331900860973,imagine me leadership charter school,kings,charter school,17,brooklyn,11207,40.660065,-73.883491
332200860955,hebrew language academy charter,kings,charter school,14,brooklyn,11234,40.612317,-73.914172
332200860978,brooklyn dreams charter school,kings,charter school,33,brooklyn,11230,40.632079,-73.969756
332300860941,leadership prep ocean hill charter,kings,charter school,47,brooklyn,11212,40.672279,-73.906075
332300860954,brownsville ascend charter school,kings,charter school,33,brooklyn,11212,40.668931,-73.917851
332300861007,roads charter school i,kings,charter school,27,brooklyn,11207,40.677518,-73.903988
332300861050,central brooklyn ascend charter,kings,charter school,22,brooklyn,11226,40.638983,-73.949036
333200860987,bushwick ascend charter school,kings,charter school,44,brooklyn,11237,40.693809,-73.909139
342400861025,central queens academy charter schoo,queens,charter school,9,queens,11373,40.737331,-73.866418
342400861048,middle village prep charter school,queens,charter school,3,queens,11379,40.710738,-73.888464
342700860869,peninsula prep acad charter sch,queens,charter school,16,queens,11691,40.601126,-73.752413
342700860990,challenge preparatory charter school,queens,charter school,20,queens,11691,40.600212,-73.763868
342800860969,rochdale early advantage charter sch,queens,charter school,9,queens,11434,40.679741,-73.778181
342900860821,merrick academy-queens public charte,queens,charter school,16,queens,11413,40.67619,-73.752996
342900860974,riverton street charter school,queens,charter school,21,queens,11412,40.689265,-73.763651
342900861077,success academy cs - rosedale,queens,charter school,11,queens,11422,40.655513,-73.738286
343000860836,our world neighborhood charter schoo,queens,charter school,3,queens,11106,40.755796,-73.924106
343000860932,voice charter school of new york,queens,charter school,34,queens,11106,40.760297,-73.939724
343000860952,growing up green charter school,queens,charter school,25,queens,11101,40.753113,-73.935704
343000860998,academy of the city charter school,queens,charter school,20,queens,11106,40.760313,-73.939676
353100860959,john w lavelle prep charter school,richmond,charter school,3,staten island,10314,40.60738,-74.17318
353100860984,new world prep charter school,richmond,charter school,19,staten island,10302,40.639822,-74.137281
353100861083,new ventures charter school,richmond,charter school,3,staten island,10314,40.605335,-74.179411
