,name,boro,zip,link,state,latlng,lat,lng
84,Bronx Shepherds Restoration Bronx,Bronx,10457,https://www.shelterlistings.org/details/24563/,NY,"40.8475350,-73.8974439",40.8475350,-73.8974439
85,"Neighborhood Initiatives Development Corp., Inc. (nidc) Bronx",Bronx,10467,https://www.shelterlistings.org/details/24618/,NY,"40.8639100,-73.8687110",40.8639100,-73.8687110
87,Northwest Bronx Community And Clergy Coalition Inc Bronx,Bronx,10468,https://www.shelterlistings.org/details/24646/,NY,"40.8683771,-73.8939562",40.8683771,-73.8939562
88,South Bronx Overall Economic Development Corp. Bronx,Bronx,10455,https://www.shelterlistings.org/details/24689/,NY,"40.8159517,-73.9164467",40.8159517,-73.9164467
89,Great Joi Bronx Community Services Inc Bronx,Bronx,10459,https://www.shelterlistings.org/details/24717/,NY,"40.8277190,-73.8970008",40.8277190,-73.8970008
90,United Homeless Organization Incorporated Bronx,Bronx,10457,https://www.shelterlistings.org/details/24740/,NY,"40.8493070,-73.8859030",40.8493070,-73.8859030
91,"Casita Maria, Inc. Bronx",Bronx,10459,https://www.shelterlistings.org/details/24769/,NY,"40.8199186,-73.8937549",40.8199186,-73.8937549
92,Faith Works International Inc Bronx,Bronx,10461,https://www.shelterlistings.org/details/24790/,NY,"40.8455230,-73.8265739",40.8455230,-73.8265739
93,"Osborne Association, Inc. Bronx",Bronx,10455,https://www.shelterlistings.org/details/24800/,NY,"40.8191236,-73.9031587",40.8191236,-73.9031587
95,Homeward Bound Program Bronx,Bronx,10461,https://www.shelterlistings.org/details/24826/,NY,"40.8390870,-73.8488540",40.8390870,-73.8488540
96,North Bronx Neighborhood Restoration Association Bronx,Bronx,10461,https://www.shelterlistings.org/details/24829/,NY,"40.8539030,-73.8544480",40.8539030,-73.8544480
97,"Bronx Home Care Services, Inc. Bronx",Bronx,10466,https://www.shelterlistings.org/details/24859/,NY,"40.8887394,-73.8477874",40.8887394,-73.8477874
98,Belmont Arthur Local Dev Bronx,Bronx,10458,https://www.shelterlistings.org/details/24864/,NY,"40.8519480,-73.8869960",40.8519480,-73.8869960
99,"Southeast Bronx Neighborhood Centers, Inc. Bronx",Bronx,10456,https://www.shelterlistings.org/details/24870/,NY,"40.8236394,-73.9027546",40.8236394,-73.9027546
